timestamp,session_id,agent_id,backend,model,path,stream,input_tokens,output_tokens,cache_read_input_tokens,cache_creation_input_tokens,stop_reason,request_bytes,response_bytes,ttfb_ms,duration_ms,error_status,error_code,error_message,router_version,request_ref,response_ref,queue_ms,store_ms,queue_bytes,request_dict_id
2026-08-26T14:27:57.362+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,1743,325037,632,tool_use,1025709,102931,2315,24299,ok,,,0.1.0,req-791,resp-904,0,14,1128640,9dd33823
2026-08-26T14:28:21.772+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,949,325669,1822,end_turn,1030918,6476,1882,13465,ok,,,0.1.0,req-792,resp-905,0,13,1037394,9dd33823
2026-08-26T14:28:35.252+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,504,11,327491,949,end_turn,1035376,1621,2006,2741,ok,,,0.1.0,req-793,resp-906,0,24,1036997,9dd33823
2026-08-26T14:31:35.301+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,94,101,328440,0,end_turn,1034189,1989,2404,4051,ok,,,0.1.0,req-794,resp-907,0,18,1036178,9dd33823
2026-08-26T14:34:20.672+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,1089,328440,143,tool_use,1034435,14726,3232,18850,ok,,,0.1.0,req-795,resp-908,0,18,1049161,9dd33823
2026-08-26T14:34:48.574+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,318,328583,1868,tool_use,1040927,6166,2058,6281,ok,,,0.1.0,req-796,resp-909,0,11,1047093,9dd33823
2026-08-26T14:34:54.916+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,1641,330451,1466,tool_use,1045806,94213,1957,19770,ok,,,0.1.0,req-797,resp-910,0,12,1140019,9dd33823
2026-08-26T14:35:14.712+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,206,331917,1716,tool_use,1050735,5441,2154,4705,ok,,,0.1.0,req-798,resp-911,0,12,1056176,9dd33823
2026-08-26T14:36:11.574+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,954,333633,581,tool_use,1052895,46641,2667,11932,ok,,,0.1.0,req-799,resp-912,0,12,1099536,9dd33823
2026-08-26T14:36:23.540+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,1,4531,334214,1159,tool_use,1056053,219171,1862,58614,ok,,,0.1.0,req-800,resp-913,0,21,1275224,9dd33823
